id,color,name,price,XS (28),S (30б),M (32),L (34),XL (36),XXL,total,relevant_VK,sold,notes,
,,,,,,,,,,,,,,
,,,,,,,,,,,"** При создании упомяналось об актуализации размеров в разделе ""Описание""",,,
,,CONVERSE,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Штаны Converse Star Shevron Pant (Navy),"р.4 250,00",,,1,1,,,2,,,m зал,
,,Штаны Converse Star Shevron Pant (Black),"р.4 250,00",1,,1,,1,,3,,,"xs склад
xl зал",
,,Штаны Converse Star Shevron Pant (Grey),"р.4 250,00",,,,1,,,1,,,,
10003140-A07,830,Штаны Converse  Women pant (Pink),"р.2 240,00",3,,,,,,3,,,,
,,Штаны Converse Women pant (Navy),"р.2 240,00",1,,,,,,1,,,,
13718C,035,Штаны Converse Women pant (Grey),"р.1 560,00",2,,,,,,2,,,,
,,,,,,,,,,,,,,
,,Юбка Converse (White),"р.2 400,00",,1,2,1,,,4,,,,
,,Юбка Converse (Black),"р.2 400,00",,1,1,1,,,3,,,,
,,,,,,,,,,,,,,
07627C,035,Шорты Converse Women Patch Short (Grey) ,"р.1 800,00",3,,,,,,3,,,только в коробке,
,,,,,,,,,,,,,,
10005825-A03,,Свитшот Converse Chuck Patch Graphic Crew (Navy),"р.3 300,00",,,1,,,,1,да,,M зал,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Свитшот Converse (Серый) (крупное лого) (мужской),,,,,2,,,2,,,,
,,Свитшот Converse (Cерый) (женский),,3,2,,,,,5,,,,
,,Свитшот Converse (Черный) (круглое красное лого),,,,,,1,,1,,,,
,,,,,,,,,,,,,,
10020972-А01-102,,Худи Converse (Белый),"р.6 500,00",1,,,,,,1,,,,
,,,,,,,,,,,,,,
,,Толстовка Zip (Розовый),"р.3 550,00",1,2,2,1,,,6,,,,
,,Толстовка Zip Converse (Серый) (маленькое круглое лого) (очень старая),,2,,,,,,2,,,,
10018229-А01,,Толстовка Zip Converse Nova Fz Hoodie Ft (Grey) ,"р.4 950,00",,,,1,,,1,,,,
10008925-А02,,"Толстовка Zip Converse ""Star Chevron"" (Navy)","р.4 950,00",,1,,,,,1,,,,
,,,,,,,,,,,,,,
,,Майка Converse (Серый) (розовое лого),"р.840,00",,,2,2,,,4,,,только в коробке,
14680C (см цвет),035,Майка Converse (Серый) (синее лого),"р.840,00",2,1,1,,,,4,,,только в коробке,
,,Майка Converse (Белый) (розовое лого),"р.840,00",1,1,,,,,2,,,только в коробке,
14680C-A02,102,Майка Converse (Белый) (синее лого),"р.840,00",2,2,2,,,,6,,,только в коробке,
14680C (см цвет),934,Майка Converse (Ярко-красный),"р.840,00",2,2,1,,,,5,,,только в коробке,
,,Майка Converse (Красный),"р.840,00",,,1,,,,1,,,только в коробке,
,,Майка Converse (Коралловый),"р.840,00",3,2,1,,,,6,,,только в коробке,
14680C (см цвет),637,Майка Converse (Фиолетовый),"р.840,00",2,2,1,,,,5,,,только в коробке,
10003364-A02,330,Майка Converse (Мятный),"р.840,00",3,1,1,,,,5,,,только в коробке,
,,,,,,,,,,,,,,
06930C,686,Футболка Converse (Коралловый) (с оранжевым лого),"р.1 600,00",,,1,,,,1,,,только в коробке,
13453C,934,Футболка Converse (Красный) (с лого),"р.1 600,00",3,,1,,,,4,,,только в коробке,
,,Футболка Converse (Черный) (с жёлтым лого Chuck Taylor),"р.1 600,00",1,,,,,,1,,,только в коробке,
14042C,681,"Футболка Converse (Розовый) (принт ""кеды"")","р.960,00",1,1,,,,,2,,,только в коробке,
14064C,102,"Футболка Converse (Белый) (лого ""кеды"")","р.1 600,00",1,,,,,,1,,,только в коробке,
10005779-A02,102,Футболка Converse (Белый) (лого классик),"р.1 295,00",1,,1,,,,2,,,только в коробке,
10005779-A07,689,Футболка Converse (Персиковый) (лого классик),"р.1 295,00",,1,,1,,,2,,,только в коробке,
10005779-A04,035,Футболка Converse (Серый) (лого классик),"р.1 295,00",1,,,,,,1,,,только на складе ,
10021631-A02,102,Футболка Converse (Белый) (зеленое лого),"р.1 850,00",,1,,,,,1,,,,
10018235-A19,323,Футболка Converse (Зеленый) (принт надпись),"р.1 950,00",,1,,,,,1,,,,
