id,name,price,count,35 (22cm),36 (22.5cm),36.5 (23cm),37 (23.5cm),37.5 (24cm),38 (24.5cm),38.5,39 (24.5cm),39.5 ,40 (25cm),40.5 (25.5cm),41 (26cm),41.5 (26.5cm),42 (27cm),42.5 (27.5cm),43 (28cm),44 (28.5cm),44.5 (29cm),45 (29.5cm),46 (30cm),46.5 (30.5cm),47 (31cm),48 (31.5cm),notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONVERSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Converse Chuck Taylor 70,,,,,,,,,,,,,,,,,,,,,,,,,,
162052C,Converse Chuck Taylor 70 (Khaki) high,"р.9 900,00",2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,
162060C,Converse Chuck Taylor 70 (Khaki) low,"р.7 490,00",6,-,-,-,1,-,-,-,-,-,1,-,-,1,-,1,1,-,-,1,-,,,,
162055C,Converse Chuck Taylor 70 (Blue) high,"р.7 190,00",3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,
162064C,Converse Chuck Taylor 70 (Blue) low,"р.6 390,00",5,-,-,-,1,1,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,
162050C,Converse Chuck Taylor 70 (Black) high,"р.9 490,00",5,-,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,368983С (детские 33.5 EUR)
162058C,Converse Chuck Taylor 70 (Black) low,"р.8 490,00",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,
162056C,Converse Chuck Taylor 70 (White) high,"р.9 900,00",2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,
162065C,Converse Chuck Taylor 70 (White) low,"р.7 490,00",6,1,1,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,
164944C,Converse Chuck Taylor 70 (Red) high,"р.9 690,00",2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
164949C,Converse Chuck Taylor 70 (Red) low,"р.7 490,00",7,1,1,-,-,-,-,-,1,-,-,-,-,1,2,1,-,-,-,-,-,-,-,-,
162051C,Converse Chuck Taylor 70 (Purple) high,"р.7 490,00",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
162059C,Converse Chuck Taylor 70 (Purple) low,"р.7 490,00",7,-,1,-,1,1,1,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Converse Chuck Taylor All Star,,,,,,,,,,,,,,,,,,,,,,,,,,
1J793C,Converse Chuck Taylor All Star (Khaki) High top,"р.7 490,00",0,,,,,,,,,,,,,,,,,,,,,,,,
1J794C,Converse Chuck Taylor All Star (Khaki) Low top,"р.6 490,00",0,,,,,,,,,,,,,,,,,,,,,,,,
M3310C,Converse Chuck Taylor All Star (MonoBlack) High top,"р.7 490,00",4,,,,,,,,,,,,,,,,,,,,,2,,2,
